"x","y","L1","L2","L3"
441463.9,557177.800000001,1,1,1
441682.6,556923.9,1,1,1
441038,556137.5,1,1,1
441284.9,554736,1,1,1
441987.2,551954.300000001,1,1,1
441989.9339,551947.698999999,1,1,1
442743.3,550128.699999999,1,1,1
443141.6,549551.1,1,1,1
443731.1996,549402.700200001,1,1,1
443173.3,549442.800000001,1,1,1
443480.9,549100.6,1,1,1
443675.1,549314.800000001,1,1,1
443662.8649,549292.401799999,1,1,1
443409.1006,548882.803200001,1,1,1
443421.5295,548850.6009,1,1,1
443401.7,548814.300000001,1,1,1
443879.2,547631.6,1,1,1
444275.6,546539.800000001,1,1,1
444362.2348,545609.2536,1,1,1
444526.0013,543220.7039,1,1,1
445243.9978,541643.6954,1,1,1
445431.1708,541406.7315,1,1,1
445637.4,540897.699999999,1,1,1
445702.6,540805.300000001,1,1,1
446331.3532,539999.9793,1,1,1
448905.8058,536702.565199999,1,1,1
448926,536676.699999999,1,1,1
448888.7,536643.699999999,1,1,1
448845.2361,536665.4024,1,1,1
448668.4,536753.699999999,1,1,1
448824.8511,536652.895099999,1,1,1
448868.3,536624.9,1,1,1
451002.4,535163,1,1,1
452894.7,534223.1,1,1,1
453222.5098,533853.8597,1,1,1
453316.9836,533446.2575,1,1,1
453339.8847,533308.2772,1,1,1
453302.3247,533351.793299999,1,1,1
453143.9,533599.6,1,1,1
452644.7513,533444.8313,1,1,1
452637.594,533443.4658,1,1,1
452289.9,533825.5,1,1,1
452573.2,533913.300000001,1,1,1
452120.8,534238.1,1,1,1
451894.2,534021.1,1,1,1
452468.6,533509.6,1,1,1
451927.2,533331.1,1,1,1
452049.1605,533094.580700001,1,1,1
452022.0137,533037.905300001,1,1,1
451802.7,533267.800000001,1,1,1
451758.4,532649.9,1,1,1
451879.5078,532740.390900001,1,1,1
451830.7061,532638.505999999,1,1,1
451748.2,532552.5,1,1,1
451779.2,531900.800000001,1,1,1
453256.1,529036,1,1,1
453996.1,528374.4,1,1,1
454413.7575,528459.777000001,1,1,1
454433.4702,528458.935699999,1,1,1
453739.9,528002.300000001,1,1,1
453820.1,527426.199999999,1,1,1
453477.4,526788,1,1,1
453870.3,526890.5,1,1,1
453939.1,526847.800000001,1,1,1
454292.4,526996.5,1,1,1
