event_stage_in_path,super_event_causes,original_collection_id,event_type,recipient_county,sender_town,recipient_name,initial_museum_subject_matter,collection_id,sender_governance,initial_museum_sector,destination_country,destination_id,recipient_postcode,sender_size,collection_status,event_is_end_of_existence,sender_sector,sender_core_type,sender_county,super_event_date,sender_governance_broad,parent_collection_id,collection_size,collection_estimated_size_max,event_date_from,initial_museum_general_type,recipient_town,collection_estimated_size,destination_longitute,origin_longitute,ancestor_collections,sender_accreditation,initial_museum_id,sender_id,sender_general_type,initial_museum_accreditation,initial_museum_type,super_event_id,super_event_cause_types,initial_museum_town,recipient_id,destination_latitude,previous_event_id,event_id,sender_subject,sender_name,sender_country,sender_region,sender_type,collection_types,origin_latitude,initial_museum_governance,collection_description,sender_postcode,destination_region,event_date_to,initial_museum_size,collection_estimated_size_min,initial_museum_country,event_core_type,recipient_general_type,initial_museum_subject_matter_broad,recipient_core_type,origin_region,recipient_governance,recipient_type,recipient_sector,recipient_governance_broad,event_is_change_of_ownership,event_is_change_of_custody,origin_country,initial_museum_region,initial_museum_core_type,event_date,initial_museum_governance_broad,initial_museum_name
1,local authority cuts; too few visitors,cm378snibston-engine,restored,,Burton on Trent,,Science_and_technology-Other,cm378snibston-engine,Independent-Not_for_profit,public,,,,small,collection,False,third,museum,Staffordshire,2013,Independent,,few,,,organisation,,,,,['cm378snibston-engine'],Accredited,mm.domus.EM075,claymills-pumping,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,,,event1625,event1626,Utilities,Claymills Victorian Pumping Station,England,West Midlands (English Region),museum,['stationary engine'],,Local_Authority,"engine originally from Clay Mills, since reassembled",DE13 0DA,,,large,,England,modified,,Science_and_technology,,,,,,,False,False,,East Midlands (English Region),museum,2013/2023,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-traction,loaned,,Coalville,Person61,Science_and_technology-Other,cm378snibston-traction,Local_Authority,public,,place1,,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,few,,,organisation,,,,,['cm378snibston-traction'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,p61,,,event1627,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['traction engine'],,Local_Authority,,LE67 3LB,,,large,,England,loaned,individual,Science_and_technology,individual,,,individual,private,,False,True,England,East Midlands (English Region),museum,2013/..,Local_Authority,Snibston Discovery Museum
0,local authority cuts; too few visitors,cm378snibston-steam,stored,,Coalville,,Science_and_technology-Other,cm378snibston-steam,Local_Authority,public,,,,large,collection,False,public,museum,Leicestershire,2013,Local_Authority,,few,100000.0,,organisation,,25000.0,,,['cm378snibston-steam'],Unaccredited,mm.domus.EM075,museummm.domus.EM075,organisation,Unaccredited,museum,cm378,financial - funding cut - local authority funding cut; low visitor numbers - other - other,Coalville,,,,event1628,Science_and_technology,Snibston Discovery Museum,England,East Midlands (English Region),museum,['steam locomotive'],,Local_Authority,,LE67 3LB,,,large,500.0,England,stored,,Science_and_technology,,,,,,,False,False,,East Midlands (English Region),museum,2013/..,Local_Authority,Snibston Discovery Museum
0,too few visitors; rising costs,cm379stondon-motor-all,sent-to-auction,,Henlow,unknown actor 1630,Transport-Cars_and_motorbikes,cm379stondon-motor-all,Private,private,,place1,,small,collection,False,private,museum,NA,2015,Private,,all,10000.0,,organisation,,5000.0,,,['cm379stondon-motor-all'],Unaccredited,mm.wiki.006,museummm.wiki.006,organisation,Unaccredited,museum,cm379,low visitor numbers - other - other; financial - costs - other,Henlow,unknown_actor_1630,,,event1630,Transport,Stondon Motor Museum,England,East of England (English Region),museum,"['motor car', 'fire engine', 'bus', 'autogyro', 'cycle rickshaw', 'truck', 'helicopter', 'aircraft']",,Private,,SG16 6JN,,,small,1000.0,England,sold,,Transport,,,,actor,unknown,,True,True,England,East of England (English Region),museum,2015-06,Private,Stondon Motor Museum
0,redevelopment; amalgamation,cm380cecil-higgins-all,stored,,Bedford,,Arts-Fine_and_decorative_arts,cm380cecil-higgins-all,Local_Authority,public,,,,medium,collection,False,public,museum,NA,2007,Local_Authority,,all,50000.0,2007,organisation,,30000.0,,,['cm380cecil-higgins-all'],Unaccredited,mm.domus.SE421,museummm.domus.SE421,organisation,Unaccredited,museum,cm380,loss of premises - redevelopment - other; strategic closure - amalgamation - other,Bedford,,,,event1632,Arts,The Cecil Higgins Museum,England,East of England (English Region),museum,['miscellaneous'],,Local_Authority,,MK40 3XD,,2013,medium,10000.0,England,stored,,Arts,,,,,,,False,False,,East of England (English Region),museum,,Local_Authority,The Cecil Higgins Museum
1,redevelopment; amalgamation,cm380cecil-higgins-all,transferred,NA,Bedford,"The Higgins, Bedford",Arts-Fine_and_decorative_arts,cm380cecil-higgins-all,,public,England,place1307,MK40 3XD,,collection,False,public,storage,,2007,,,all,50000.0,,organisation,Bedford,30000.0,,,['cm380cecil-higgins-all'],,mm.domus.SE421,bedford-storage,organisation,Unaccredited,museum,cm380,loss of premises - redevelopment - other; strategic closure - amalgamation - other,Bedford,higgins-bedford,,event1632,event1633,,Interim storage in Bedford (assumed),,,storage facility,['miscellaneous'],,Local_Authority,,,,,medium,10000.0,England,free-transfer,organisation,Arts,museum,,Local_Authority,museum,public,Local_Authority,True,True,England,East of England (English Region),museum,2013,Local_Authority,The Cecil Higgins Museum
0,unknown,cm381clockmakers-all,transferred,NA,London,Science Museum,Industry_and_manufacture-Clocks_and_watches,cm381clockmakers-all,Independent-Not_for_profit,third,England,place1559,SW7 2DD,medium,collection,False,third,museum,NA,2015,Independent,,all,50000.0,,organisation,London,30000.0,,,['cm381clockmakers-all'],Accredited,mm.domus.SE076,museummm.domus.SE076,organisation,Accredited,museum,cm381,unknown - other - other,London,science-museum,,,event1635,Industry_and_manufacture,The Clockmakers Museum,England,London (English Region),museum,"['clock', 'watch', 'miscellaneous']",,Independent-Not_for_profit,,SW7 2DD,,,medium,10000.0,England,free-transfer,organisation,Industry_and_manufacture,museum,,National,museum,public,National,True,True,England,London (English Region),museum,2015,Independent,The Clockmakers Museum
0,loss of premises,cm382holley-cornelius-collection,stored,,Milton Keynes,,Leisure_and_sport-Toys_and_models,cm382holley-cornelius-collection,Private,private,,,,small,collection,False,private,museum,NA,2015,Private,,all,10000.0,,organisation,,5000.0,,,['cm382holley-cornelius-collection'],Unaccredited,mm.aim.1082,museummm.aim.1082,organisation,Unaccredited,museum,cm382,loss of premises - other - other,Milton Keynes,,,,event1637,Leisure_and_sport,The Holley/cornelius Collection,England,South East (English Region),museum,['toy'],,Private,,MK3 6EB,,,small,1000.0,England,stored,,Leisure_and_sport,,,,,,,False,False,,South East (English Region),museum,2015,Private,The Holley/cornelius Collection
1,loss of premises,cm382holley-cornelius-collection,sold,,Milton Keynes,unknown actor 1638,Leisure_and_sport-Toys_and_models,cm382holley-cornelius-collection-sold,Private,private,,place1,,small,collection,False,private,museum,NA,2015,Private,cm382holley-cornelius-collection,some,4000.0,,organisation,,1250.0,,,"['cm382holley-cornelius-collection-sold', 'cm382holley-cornelius-collection']",Unaccredited,mm.aim.1082,museummm.aim.1082,organisation,Unaccredited,museum,cm382,loss of premises - other - other,Milton Keynes,unknown_actor_1638,,event1637,event1638,Leisure_and_sport,The Holley/cornelius Collection,England,South East (English Region),museum,['toy'],,Private,,MK3 6EB,,,small,100.0,England,sold,,Leisure_and_sport,,,,actor,unknown,,True,True,England,South East (English Region),museum,2017/..,Private,The Holley/cornelius Collection
0,local authority funding cut,cm383tymperleys-all,transferred,,Colchester,Colchester City Council,Industry_and_manufacture-Clocks_and_watches,cm383tymperleys-all,Private,private,,place312,CO1 1FR,medium,collection,False,private,museum,Essex,2011,Private,,all,50000.0,,organisation,Colchester,30000.0,,,['cm383tymperleys-all'],Unaccredited,mm.domus.SE074,museummm.domus.SE074,organisation,Unaccredited,museum,cm383,financial - funding cut - local authority funding cut,Colchester,colchester-council,,,event1640,Industry_and_manufacture,Tymperleys Clock Museum,England,East of England (English Region),museum,"['clock', 'watch']",,Private,,CO1 1JN,,,medium,10000.0,England,free-transfer,organisation,Industry_and_manufacture,civic organisation,,,local authority,public,,True,True,England,East of England (English Region),museum,2011,Private,Tymperleys Clock Museum
